,Unnamed: 0,userid,number_of_logins,number_of_assignments,question_gradedright,question_complete,question_todo,question_gradedwrong,question_attempts,number_of_quizs,quiz_max_attempt,quiz_min_attempt,quiz_mean_attempt
0,0,64,168,17,3,8,8,5,24,3,2,1,1.25
1,1,65,88,13,4,9,9,5,27,3,2,1,1.4
2,2,66,147,20.5,3,9,9,6,27,1,1,1,1
13,13,122,114,9,10,19,17,6,53,1,1,1,1
16,16,152,60,6,0,1,1,0,2,1,1,1,1
19,19,155,95,3,39,41,41,1,123,2,1,1,1
24,24,863,54,2,32,44,40,3,124,4,2,1,1.333333333
25,25,864,92,2,25,33,32,2,97,4,2,1,1.2
26,26,865,73,5,51,66,65,9,196,3,2,1,1.25
27,27,866,42,2,23,36,32,4,100,4,2,1,1.2
28,28,867,101,5,54,71,69,10,209,3,2,1,1.4
29,29,868,46,5,58,70,69,6,208,3,2,1,1.4
30,30,869,61,5,33,40,40,2,120,3,1,1,1
31,31,870,71,5,51,66,65,8,196,3,2,1,1.25
32,32,871,20,4,52,67,65,7,197,3,2,1,1.25
33,33,872,78,5,58,71,80,6,220,3,2,1,1.416666668
34,34,873,140,3,22,41,41,12,122,3,1,1,1
35,35,874,64,4,54,73,69,10,211,3,2,1,1.4
37,37,876,75,5,48,66,65,11,196,3,2,1,1.25
38,38,877,49,2,33,49,45,7,139,6,2,1,1.142857143
39,39,878,45,5,55,66,65,4,196,3,2,1,1.25
40,40,879,95,5,53,70,65,7,200,3,2,1,1.25
42,42,881,23,2,19,30,28,3,86,4,1,1,1
43,43,882,44,5,53,66,65,7,196,3,2,1,1.25
44,44,883,184,5,51,66,65,9,196,3,2,1,1.25
45,45,884,51,2,25,44,41,9,126,4,2,1,1.333333333
46,46,885,49,5,36,53,44,3,141,3,2,1,1.25
47,47,886,58,4,33,41,40,2,121,3,1,1,1
48,48,887,278,5,55,69,69,8,207,3,2,1,1.4
49,49,888,60,2,25,36,32,2,100,4,2,1,1.2
50,50,889,78,2,21,32,32,5,96,4,2,1,1.2
52,52,891,84,2,18,32,24,1,80,3,1,1,1
55,55,894,39,2,22,28,28,1,84,4,1,1,1
57,57,896,14,5,31,45,40,3,125,3,1,1,1
59,59,898,83,2,22,28,28,1,84,4,1,1,1
60,60,899,62,2,25,38,32,2,102,4,2,1,1.2
62,62,901,49,4,32,44,40,3,124,3,1,1,1
63,63,902,39,2,20,31,28,3,87,4,1,1,1
64,64,903,33,5,54,74,69,10,212,3,2,1,1.4
65,65,904,55,2,34,45,41,2,127,4,2,1,1.333333333
66,66,905,45,2,28,45,41,8,127,4,2,1,1.333333333
67,67,906,75,5,9,15,15,1,45,2,1,1,1
69,69,908,88,5,56,66,65,4,196,3,2,1,1.25
70,70,909,46,5,31,40,40,3,120,3,1,1,1
71,71,910,40,4,52,69,65,8,199,3,2,1,1.25
73,73,912,67,1,22,33,28,1,90,4,1,1,1
74,74,913,64,5,51,72,65,9,202,3,2,1,1.25
76,76,915,79,2,31,40,40,4,120,4,2,1,1.333333333
78,78,917,58,5,5,16,15,4,46,2,1,1,1
84,84,1068,134,4,18,23,20,2,63,1,1,1,1
86,86,1070,366,12,1,2,4,0,9,2,2,1,1.333333333
107,107,1179,67,6,14,25,25,10,75,1,1,1,1
108,108,1180,117,1,39,41,41,1,123,7,1,1,1
109,109,1181,55,3,37,48,45,7,139,2,1,1,1
111,111,1183,174,3,16,32,29,13,90,2,1,1,1
118,118,1204,430,3,43,79,78,18,224,2,2,1,1.333333333
121,121,1207,236,9,34,37,37,1,111,6,2,1,1.142857143
123,123,1209,123,3,20,48,40,20,128,1,1,1,1
128,128,1215,248,7,27,32,32,2,96,6,1,1,1
129,129,1216,69,1,55,61,60,5,181,2,2,1,1.333333333
133,133,1220,199,9,28,34,33,0,100,6,2,1,1.142857143
134,134,1221,346,14,31,32,32,0,96,6,1,1,1
135,135,1222,182,9,31,33,33,0,99,6,2,1,1.142857143
136,136,1223,228,8,29,40,39,5,118,6,3,1,1.416666668
137,137,1224,241,6,29,33,32,0,97,6,1,1,1
139,139,1226,430,6,28,32,32,1,96,6,1,1,1
